i value
1.983 0.988
2.500 0.987
3.017 0.986
3.533 0.988
4.050 0.990
4.483 0.994
5.000 0.992
5.517 0.994
6.033 0.994
6.550 0.993
7.050 0.995
7.567 0.997
8.083 0.996
8.600 0.995
9.117 0.994
9.633 0.990
10.150 0.990
10.667 0.990
11.183 0.987
11.683 0.988
12.200 0.991
12.717 0.991
13.233 0.991
13.750 0.992
14.267 0.992
14.783 0.991
15.300 0.990
15.817 0.990
16.333 0.988
16.850 0.985
17.367 0.987
17.867 0.987
18.383 0.988
18.900 0.991
